site,region,description,lat,long,salinity,notes
Eel Pond,Woods Hole,"Salt water becoming brackish around the mouths of fresh-water brooks that empty into it. A large pond in constant communication with ocean, containing much vegetation and with a muddy bottom.",,,salt water,
Penzance Pond,Woods Hole,"A very small pond on Penzance Neck, filled by the tide at high water.",,,salt water,
Little Harbor,Woods Hole,A bay opening directly into Vineyard Sound and containing much vegetation.,,,salt water,
Quissett Pond,Woods Hole,"A small pond on the shore of Quissett Harbor just above high-tide level, but so near to Buzzards Bay as to catch the spray during a storm ; filled with water plants.",,,brackish water,
Mill Pond,Woods Hole,Within the village of Woods Hole and filled with blanket algae.,,,fresh water,
Fresh Pond,Woods Hole,A small pond close to the ocean on the road leading from Woods Hole to Nobska Lighthouse ; vegetation rather limited.,,,0.4993,
Lily Pond,Woods Hole,A very small pond filled with waterlilies just north of Nobska Lighthouse.,,,fresh water,
Nobska Point,Woods Hole,,,,salt water,DIAPTOMUS MINUTUS (p.92)
Ice Pond,Falmouth,"A small pond north of Quissett Harbor, shallow and full of vegetation.",,,fresh water,
Flax Pond,Falmouth,"Another small pond still farther north, also shallow and full of vegetation.",,,fresh water,
Lily Pond,Falmouth,A small pond filled with waterlillies close to the shore of Buzzards Bay and just south of the Falmouth Arms Hotel.,,,fresh water,
Crockers Pond,Falmouth,"Situated north of West Falmouth Village, of medium size and quite deep, without much vegetation.",,,fresh water,
Sidleys Pond,Falmouth,"Situated in Falmouth Village, of medium size and fairly deep, with much marginal vegetation.",,,fresh water,
East Falmouth Pond,Falmouth,"Beside the State highway in East Falmouth, its outlet running into Green Pond;small and shallow.",,,fresh water,
Bournes Pond,Falmouth,"In the village of West Falmouth, of medium size, rather shallow, and filled with vegetation.",,,fresh water,
Mares Pond,Falmouth,"North of the road from East Falmouth to West Falmouth, half a mile in diameter, with a moderate quantity of vegetation.",,,fresh water,
Browns Pond (Spectacle Pond),Falmouth,"East of Mares Pond, a little longer but not so wide and filled with vegetation.",,,fresh water,
Jenkins Pond,Falmouth ,North of Browns Pond and considerably larger;deep and clear and free from vegetation.,,,fresh water,
Jones Pond,Falmouth,"In Waquoit Village;of medium size, shallow, and filled with vegetation.",,,fresh water,
Lily Pond,Falmouth,"South of Ashumet Pond, small in size and very shallow, choked with vegetation to withing 5 inches of the surface.",,,fresh water,
Oyster Pond,Falmouth,"On the shore of Vineyard Sound, half a mile long, quater of a mile wide, filled with floating algae.",,,0.214,
Salt Pond,Falmouth,"On the shore of Vineyard Sound east of Oyster Pond, its outer end opening into the ocean.",,,0.36,
Little Pond,Falmouth,"On the shore of Vineyard Sound east of Falmouth Heights, a mile long, the outer end opening into the ocean, the inner end recieving a large brook, the pond filled with water bloom.",,,fresh water,
Great Pond,Falmouth,"On the shore of Vineyard Sound, 2 miles long by half a mile wide, the outer end open to the ocean, the inner end recieving a large stream;vegetation rather limited",,,fresh water to salt water,
Green Pond,Falmouth,"On the shore of Vineyard Sound, 2 miles long, quarter of a mile wide, the outer end open to the ocean, the inner end recieving the outlet og East Falmouth Pond.",,,fresh water to salt water,
Waquoit Bay,Falmouth,"On the shore of Vineyard Sound, 2 miles long, a mile wide, the outer end open to the ocean, the inner end recieving the Quostinet River and a large brook.",,,fresh water to salt water,
Eel Pond,Falmouth,"West of Waquoit Bay and connected with it by a wide outlet, and recieving at its upper end the Childs River, the outlet of John Pond",,,fresh water to brackish water,
